""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"DCAF10"	1.24737179212899	5.82191371470943	7.0549730456759	3.04383516398771e-06	0.00313128237277118	4.80558502539718	"DCAF10"
"CDC42EP2"	3.20356345182429	6.8281339830771	7.04460174700045	3.0986325749693e-06	0.00313128237277118	4.78910884510621	"CDC42EP2"
"DIDO1"	1.72129859422463	7.27130512741605	7.02385411012221	3.21137257321422e-06	0.00313128237277118	4.75609769466009	"DIDO1"
"METTL6"	2.03711372665627	6.1949316329976	6.99297305421301	3.38718251265616e-06	0.00313128237277118	4.70683799262167	"METTL6"
"MAP2K4"	1.6921598431764	7.32032434073366	6.96849739003842	3.53366169661088e-06	0.00313128237277118	4.66768911585199	"MAP2K4"
"FAM69A"	2.05441137530505	6.86637421305398	6.9486521896395	3.65728477013869e-06	0.00313128237277118	4.63587737680395	"FAM69A"
"CMTM2"	2.02388485594698	5.66152217218659	6.9406200483521	3.70859731317922e-06	0.00313128237277118	4.62298425353382	"CMTM2"
"STT3A"	1.66450711485961	8.32107341681325	6.93463236206634	3.74733822840928e-06	0.00313128237277118	4.61336625381216	"STT3A"
"CEP19"	3.27255306756707	6.10465193133632	6.8891426299552	4.05583069818366e-06	0.00313128237277118	4.54011158424272	"CEP19"
"ZNF526"	1.70135810242988	7.65525230518975	6.88705768080298	4.07059074312013e-06	0.00313128237277118	4.53674624885197	"ZNF526"
"CYP1B1"	3.33082025512943	8.45329148961436	6.88209093720769	4.10597849969995e-06	0.00313128237277118	4.52872661920397	"CYP1B1"
